subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Progressive matrices,31,50-59,College/Some college/Associate's,Female,22833,9.95,3.23,5,8,10,12,14
Progressive matrices,31,50-59,Professional deg./Ph.D./Master's,Male,4969,10.49,3.43,5,8,11,13,14
Progressive matrices,31,50-59,Professional deg./Ph.D./Master's,Female,10946,10.53,3.13,6,9,11,13,14
Progressive matrices,31,60-69,HS/Some HS,Male,1310,8.14,3.4,3,5,8,11,13
Progressive matrices,31,60-69,HS/Some HS,Female,3278,8.36,3.26,4,6,9,11,12
Progressive matrices,31,60-69,College/Some college/Associate's,Male,8134,9.0,3.46,4,6,9,12,13
Progressive matrices,31,60-69,College/Some college/Associate's,Female,18207,9.37,3.28,5,7,10,12,13
Progressive matrices,31,60-69,Professional deg./Ph.D./Master's,Male,5484,9.66,3.44,5,7,10,12,14
Progressive matrices,31,60-69,Professional deg./Ph.D./Master's,Female,10588,9.95,3.22,5,8,11,12,14
Progressive matrices,31,70-99,HS/Some HS,Male,615,7.36,3.31,3,5,7,10,12
Progressive matrices,31,70-99,HS/Some HS,Female,1503,7.71,3.26,3,5,8,10,12
Progressive matrices,31,70-99,College/Some college/Associate's,Male,3349,8.24,3.44,3,5,9,11,13
Progressive matrices,31,70-99,College/Some college/Associate's,Female,6401,8.69,3.31,4,6,9,11,13
Progressive matrices,31,70-99,Professional deg./Ph.D./Master's,Male,2975,8.8,3.44,4,6,9,12,13
Progressive matrices,31,70-99,Professional deg./Ph.D./Master's,Female,3463,9.19,3.32,4,7,10,12,13
Grand Index,NA,18-29,HS/Some HS,Male,5605,108.52,13.24,91,100,108,117,125
Grand Index,NA,18-29,HS/Some HS,Female,2729,106.65,12.47,91,99,106,114,122
Grand Index,NA,18-29,College/Some college/Associate's,Male,19536,115.12,12.71,99,106,114,123,131
Grand Index,NA,18-29,College/Some college/Associate's,Female,15666,112.72,11.77,98,105,112,120,127
Grand Index,NA,18-29,Professional deg./Ph.D./Master's,Male,3391,117.49,12.73,101,108,117,125,134
Grand Index,NA,18-29,Professional deg./Ph.D./Master's,Female,3929,115.02,11.81,100,107,114,122,129
Grand Index,NA,30-39,HS/Some HS,Male,1866,105.28,13.08,89,97,105,114,122
Grand Index,NA,30-39,HS/Some HS,Female,1213,103.75,12.94,87,95,104,112,119
Grand Index,NA,30-39,College/Some college/Associate's,Male,11274,112.34,12.68,96,104,112,120,128
Grand Index,NA,30-39,College/Some college/Associate's,Female,10760,109.9,12.24,94,102,109,118,125
Grand Index,NA,30-39,Professional deg./Ph.D./Master's,Male,5247,114.94,12.66,99,106,114,123,131
Grand Index,NA,30-39,Professional deg./Ph.D./Master's,Female,6389,112.59,12.0,97,104,112,120,127
Grand Index,NA,40-49,HS/Some HS,Male,1712,100.97,12.72,84,93,101,108,116
Grand Index,NA,40-49,HS/Some HS,Female,1976,101.22,12.11,85,93,101,109,116
Grand Index,NA,40-49,College/Some college/Associate's,Male,8764,108.06,12.54,92,100,108,116,123
Grand Index,NA,40-49,College/Some college/Associate's,Female,13673,105.79,11.87,90,98,106,113,120
Grand Index,NA,40-49,Professional deg./Ph.D./Master's,Male,4794,110.87,12.12,95,103,111,118,126
Grand Index,NA,40-49,Professional deg./Ph.D./Master's,Female,7458,108.58,11.67,93,101,108,116,123
Grand Index,NA,50-59,HS/Some HS,Male,2095,95.88,11.57,80,88,96,103,109
Grand Index,NA,50-59,HS/Some HS,Female,4027,96.97,11.04,82,89,97,104,110
Grand Index,NA,50-59,College/Some college/Associate's,Male,9753,101.23,11.59,86,93,101,108,115
Grand Index,NA,50-59,College/Some college/Associate's,Female,22831,100.82,11.06,86,93,100,108,114
Grand Index,NA,50-59,Professional deg./Ph.D./Master's,Male,4969,104.27,11.49,90,96,104,111,118
Grand Index,NA,50-59,Professional deg./Ph.D./Master's,Female,10945,102.95,10.76,89,96,103,110,116
Grand Index,NA,60-69,HS/Some HS,Male,1309,89.61,11.49,74,82,90,96,104
Grand Index,NA,60-69,HS/Some HS,Female,3278,91.2,10.86,77,84,91,98,104
Grand Index,NA,60-69,College/Some college/Associate's,Male,8131,94.6,11.19,80,87,95,101,108
Grand Index,NA,60-69,College/Some college/Associate's,Female,18205,95.17,10.68,81,88,95,102,108
Grand Index,NA,60-69,Professional deg./Ph.D./Master's,Male,5484,97.43,11.22,83,90,97,104,111
Grand Index,NA,60-69,Professional deg./Ph.D./Master's,Female,10587,96.88,10.41,83,89,97,104,109
Grand Index,NA,70-99,HS/Some HS,Male,615,82.24,11.56,67,74,82,90,96
Grand Index,NA,70-99,HS/Some HS,Female,1503,84.18,10.9,70,76,84,91,97
Grand Index,NA,70-99,College/Some college/Associate's,Male,3349,86.6,11.54,71,79,87,94,100
Grand Index,NA,70-99,College/Some college/Associate's,Female,6400,87.69,10.92,73,80,88,95,101
Grand Index,NA,70-99,Professional deg./Ph.D./Master's,Male,2975,88.59,11.38,73,81,88,96,102
Grand Index,NA,70-99,Professional deg./Ph.D./Master's,Female,3463,89.66,10.79,75,82,90,97,103
