subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Digit symbol coding,45,40-49,Professional deg./Ph.D./Master's,Male,5346,46.3,8.36,37,41,46,51,56
Digit symbol coding,45,40-49,Professional deg./Ph.D./Master's,Female,8322,46.75,8.25,38,42,46,51,57
Digit symbol coding,45,50-59,HS/Some HS,Male,2438,37.51,6.95,29,33,38,42,46
Digit symbol coding,45,50-59,HS/Some HS,Female,4603,40.91,7.37,32,36,41,45,50
Digit symbol coding,45,50-59,College/Some college/Associate's,Male,11017,40.06,7.08,32,36,40,44,49
Digit symbol coding,45,50-59,College/Some college/Associate's,Female,25868,42.13,7.54,33,37,42,46,51
Digit symbol coding,45,50-59,Professional deg./Ph.D./Master's,Male,5611,41.08,6.77,33,37,41,45,49
Digit symbol coding,45,50-59,Professional deg./Ph.D./Master's,Female,12238,42.15,6.92,34,38,42,46,50
Digit symbol coding,45,60-69,HS/Some HS,Male,1531,33.72,6.71,25,30,34,38,42
Digit symbol coding,45,60-69,HS/Some HS,Female,3815,36.89,6.94,29,32,37,41,45
Digit symbol coding,45,60-69,College/Some college/Associate's,Male,9364,35.91,6.55,28,32,36,40,44
Digit symbol coding,45,60-69,College/Some college/Associate's,Female,20945,37.98,6.71,30,34,38,42,46
Digit symbol coding,45,60-69,Professional deg./Ph.D./Master's,Male,6246,36.63,6.41,29,33,37,41,44
Digit symbol coding,45,60-69,Professional deg./Ph.D./Master's,Female,11905,37.81,6.32,30,34,38,42,45
Digit symbol coding,45,70-99,HS/Some HS,Male,845,29.07,7.2,20,25,30,33,37
Digit symbol coding,45,70-99,HS/Some HS,Female,1936,32.0,7.0,24,28,32,37,40
Digit symbol coding,45,70-99,College/Some college/Associate's,Male,4176,30.97,6.9,22,27,31,35,39
Digit symbol coding,45,70-99,College/Some college/Associate's,Female,7937,33.05,6.8,25,29,33,37,41
Digit symbol coding,45,70-99,Professional deg./Ph.D./Master's,Male,3702,31.36,6.81,23,28,32,36,39
Digit symbol coding,45,70-99,Professional deg./Ph.D./Master's,Female,4191,33.17,6.36,26,29,33,37,40
Forward memory span,43,18-29,HS/Some HS,Male,6190,10.22,2.61,7,8,10,12,13
Forward memory span,43,18-29,HS/Some HS,Female,3053,9.62,2.45,7,8,10,11,13
Forward memory span,43,18-29,College/Some college/Associate's,Male,21150,10.88,2.53,8,9,11,12,14
Forward memory span,43,18-29,College/Some college/Associate's,Female,17195,10.15,2.45,7,9,10,12,13
Forward memory span,43,18-29,Professional deg./Ph.D./Master's,Male,3661,11.09,2.57,8,9,11,13,14
Forward memory span,43,18-29,Professional deg./Ph.D./Master's,Female,4292,10.28,2.43,7,9,10,12,13
Forward memory span,43,30-39,HS/Some HS,Male,2070,9.78,2.59,6,8,10,12,13
Forward memory span,43,30-39,HS/Some HS,Female,1352,9.15,2.54,6,7,9,11,12
Forward memory span,43,30-39,College/Some college/Associate's,Male,12160,10.42,2.53,7,9,10,12,14
Forward memory span,43,30-39,College/Some college/Associate's,Female,11742,9.65,2.44,6,8,10,11,13
Forward memory span,43,30-39,Professional deg./Ph.D./Master's,Male,5658,10.65,2.59,7,9,11,12,14
Forward memory span,43,30-39,Professional deg./Ph.D./Master's,Female,6949,9.85,2.47,7,8,10,11,13
Forward memory span,43,40-49,HS/Some HS,Male,1892,9.06,2.51,6,7,9,11,12
Forward memory span,43,40-49,HS/Some HS,Female,2183,8.47,2.41,5,7,8,10,11
Forward memory span,43,40-49,College/Some college/Associate's,Male,9516,9.8,2.55,7,8,10,11,13
Forward memory span,43,40-49,College/Some college/Associate's,Female,14813,8.93,2.41,6,7,9,11,12
Forward memory span,43,40-49,Professional deg./Ph.D./Master's,Male,5167,10.02,2.52,7,8,10,12,13
Forward memory span,43,40-49,Professional deg./Ph.D./Master's,Female,8049,9.16,2.45,6,8,9,11,12
Forward memory span,43,50-59,HS/Some HS,Male,2303,8.14,2.48,5,6,8,10,11
Forward memory span,43,50-59,HS/Some HS,Female,4405,7.63,2.4,5,6,8,9,11
Forward memory span,43,50-59,College/Some college/Associate's,Male,10577,8.6,2.48,5,7,9,10,12
Forward memory span,43,50-59,College/Some college/Associate's,Female,24825,7.98,2.37,5,6,8,10,11
Forward memory span,43,50-59,Professional deg./Ph.D./Master's,Male,5390,8.8,2.43,6,7,9,10,12
Forward memory span,43,50-59,Professional deg./Ph.D./Master's,Female,11791,8.14,2.37,5,7,8,10,11
Forward memory span,43,60-69,HS/Some HS,Male,1450,7.03,2.53,4,5,7,9,10
Forward memory span,43,60-69,HS/Some HS,Female,3632,6.69,2.37,4,5,7,8,10
Forward memory span,43,60-69,College/Some college/Associate's,Male,8883,7.51,2.43,4,6,8,9,11
Forward memory span,43,60-69,College/Some college/Associate's,Female,19959,7.09,2.35,4,6,7,9,10
Forward memory span,43,60-69,Professional deg./Ph.D./Master's,Male,5947,7.7,2.41,5,6,8,9,11
Forward memory span,43,60-69,Professional deg./Ph.D./Master's,Female,11417,7.21,2.3,4,6,7,9,10
Forward memory span,43,70-99,HS/Some HS,Male,729,5.87,2.4,3,4,6,8,9
Forward memory span,43,70-99,HS/Some HS,Female,1758,5.72,2.37,2,4,6,7,9
Forward memory span,43,70-99,College/Some college/Associate's,Male,3811,6.26,2.43,3,5,6,8,9
Forward memory span,43,70-99,College/Some college/Associate's,Female,7257,6.01,2.38,3,4,6,8,9
Forward memory span,43,70-99,Professional deg./Ph.D./Master's,Male,3362,6.3,2.45,3,5,6,8,9
Forward memory span,43,70-99,Professional deg./Ph.D./Master's,Female,3886,6.22,2.3,3,5,6,8,9
Reverse memory span,44,18-29,HS/Some HS,Male,5765,8.64,2.56,5,7,9,10,12
Reverse memory span,44,18-29,HS/Some HS,Female,2795,8.29,2.52,5,7,8,10,12
Reverse memory span,44,18-29,College/Some college/Associate's,Male,19894,9.24,2.51,6,8,9,11,12
Reverse memory span,44,18-29,College/Some college/Associate's,Female,15994,8.82,2.46,6,7,9,10,12
Reverse memory span,44,18-29,Professional deg./Ph.D./Master's,Male,3446,9.46,2.56,6,8,9,11,13
Reverse memory span,44,18-29,Professional deg./Ph.D./Master's,Female,4021,8.98,2.49,6,7,9,11,12
Reverse memory span,44,30-39,HS/Some HS,Male,1926,8.23,2.54,5,6,8,10,11
Reverse memory span,44,30-39,HS/Some HS,Female,1244,7.9,2.43,5,6,8,9,11
Reverse memory span,44,30-39,College/Some college/Associate's,Male,11493,8.86,2.46,6,7,9,10,12
Reverse memory span,44,30-39,College/Some college/Associate's,Female,11004,8.35,2.46,5,7,8,10,11
Reverse memory span,44,30-39,Professional deg./Ph.D./Master's,Male,5345,9.13,2.54,6,7,9,11,12
Reverse memory span,44,30-39,Professional deg./Ph.D./Master's,Female,6517,8.56,2.44,6,7,9,10,12
Reverse memory span,44,40-49,HS/Some HS,Male,1776,7.79,2.45,5,6,8,9,11
Reverse memory span,44,40-49,HS/Some HS,Female,2051,7.31,2.38,4,6,7,9,10
Reverse memory span,44,40-49,College/Some college/Associate's,Male,9005,8.4,2.5,5,7,8,10,12
Reverse memory span,44,40-49,College/Some college/Associate's,Female,14025,7.76,2.37,5,6,8,9,11
Reverse memory span,44,40-49,Professional deg./Ph.D./Master's,Male,4902,8.64,2.49,6,7,9,10,12
Reverse memory span,44,40-49,Professional deg./Ph.D./Master's,Female,7631,7.99,2.41,5,6,8,10,11
Reverse memory span,44,50-59,HS/Some HS,Male,2183,7.04,2.34,4,5,7,9,10
Reverse memory span,44,50-59,HS/Some HS,Female,4172,6.7,2.25,4,5,7,8,10
Reverse memory span,44,50-59,College/Some college/Associate's,Male,10075,7.48,2.37,5,6,7,9,11
Reverse memory span,44,50-59,College/Some college/Associate's,Female,23608,6.98,2.27,4,5,7,8,10
Reverse memory span,44,50-59,Professional deg./Ph.D./Master's,Male,5123,7.75,2.37,5,6,8,9,11
Reverse memory span,44,50-59,Professional deg./Ph.D./Master's,Female,11263,7.17,2.29,4,6,7,9,10
Reverse memory span,44,60-69,HS/Some HS,Male,1367,6.24,2.27,3,5,6,8,9
Reverse memory span,44,60-69,HS/Some HS,Female,3456,5.91,2.12,3,4,6,7,9
Reverse memory span,44,60-69,College/Some college/Associate's,Male,8479,6.65,2.28,4,5,7,8,10
Reverse memory span,44,60-69,College/Some college/Associate's,Female,18984,6.28,2.17,3,5,6,8,9
Reverse memory span,44,60-69,Professional deg./Ph.D./Master's,Male,5694,6.88,2.27,4,5,7,8,10
Reverse memory span,44,60-69,Professional deg./Ph.D./Master's,Female,10958,6.41,2.18,4,5,6,8,9
Reverse memory span,44,70-99,HS/Some HS,Male,670,5.21,2.2,2,4,5,6,8
Reverse memory span,44,70-99,HS/Some HS,Female,1640,5.03,2.12,2,3,5,6,8
Reverse memory span,44,70-99,College/Some college/Associate's,Male,3620,5.63,2.18,3,4,6,7,8
Reverse memory span,44,70-99,College/Some college/Associate's,Female,6855,5.37,2.15,3,4,5,7,8
Reverse memory span,44,70-99,Professional deg./Ph.D./Master's,Male,3194,5.72,2.23,3,4,6,7,9
Reverse memory span,44,70-99,Professional deg./Ph.D./Master's,Female,3687,5.54,2.12,3,4,5,7,8
Trail making part A,39,18-29,HS/Some HS,Male,5685,20.73,7.78,28,23,19,16,14
Trail making part A,39,18-29,HS/Some HS,Female,2767,21.71,8.51,29,24,20,17,15
Trail making part A,39,18-29,College/Some college/Associate's,Male,19728,19.45,6.12,26,22,18,16,14
Trail making part A,39,18-29,College/Some college/Associate's,Female,15818,20.23,6.73,26,22,19,16,15
Trail making part A,39,18-29,Professional deg./Ph.D./Master's,Male,3419,19.45,7.48,25,22,18,16,14
Trail making part A,39,18-29,Professional deg./Ph.D./Master's,Female,3974,20.14,6.7,26,22,19,17,15
Trail making part A,39,30-39,HS/Some HS,Male,1899,23.4,12.62,32,26,21,18,16
Trail making part A,39,30-39,HS/Some HS,Female,1226,23.46,10.19,33,26,21,18,16
Trail making part A,39,30-39,College/Some college/Associate's,Male,11382,20.93,7.94,28,23,19,17,15
